ARTROPLASTIA DE QUADRIL INFECTADA (RETIRADA DOS COMPONENTES) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA DE RESSECÇÃO DO QUADRIL (GIRDLESTONE);N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA PARCIAL DO QUADRIL - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA TOTAL DE QUADRIL INFECTADA (INCISÃO E DRENAGEM ARTRITE SÉPTICA) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROTOMIA COXO-FEMORAL - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA COXO-FEMORAL;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DA CINTURA PÉLVICA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESARTICULAÇÃO COXO-FEMORAL - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESARTICULAÇÃO INTERÍLIO ABDOMINAL - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIODESE C/ ABAIXAMENTO DO GRANDE TROCANTER;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIOLISTESE PROXIMAL DE FÊMUR (FIXAÇÃO "IN SITU");N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA DE ACETÁBULO - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA DE ACETÁBULO (COM UMA OU MAIS ABORDAGENS) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO E/OU AVULSÃO COXO-FEMORAL - REDUÇÃO INCRUENTA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO E/OU AVULSÃO COXO-FEMORAL - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA/LUXAÇÃO COM FIXADOR EXTERNO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES DO ANEL PÉLVICO - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES DO ANEL PÉLVICO (COM UMA OU MAIS ABORDAGENS) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOMIELITE AO NÍVEL DA PELVE - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOTOMIAS AO NÍVEL DO COLO OU REGIÃO TROCANTERIANA (SUGIOKA, MARTIN, BOMBELLI ETC) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOTOMIAS / ARTRODESES - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOTOMIAS SUPRA-ACETABULARES (CHIARI, PEMBERTON, "DIAL", ETC) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO-BIÓPSIA COXO-FEMORAL-ARTROCENTESE;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DE QUADRIL COM FIXADOR EXTERNO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVISÃO DE ARTROPLASTIAS DE QUADRIL COM RETIRADA DE COMPONENTES E IMPLANTE DE PRÓTESE;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO DE NECROSE AVASCULAR POR FORAGEM DE ESTAQUEAMENTO ASSOCIADA À NECROSE MICROCIRÚRGICA DA CABEÇA FEMORAL;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA ARTRITE SÉPTICA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA LUXAÇÃO CONGÊNITA DE QUADRIL - REDUÇÃO CIRÚRGICA COM OU SEM OSTEOTOMIA / REDUÇÃO INCRUENTA COM OU SEM TENOTOMIA DE ADUTORES;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO / TRANSPORTE ÓSSEO / PSEUDOARTROSE COM FIXADOR EXTERNO (DINÂMICO OU NÃO) - QUALQUER LOCALIZAÇÃO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO COM FIXADOR DINÂMICO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO DE FÊMUR - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO AO NÍVEL DA COXA - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO AO NÍVEL DO PÉ - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO DE PERNA - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO/DESARTICULAÇÃO DE PODODÁCTILOS - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRITE OU OSTEOARTRITE DOS OSSOS DO PÉ (INCLUI OSTEOMIELITE) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE DE JOELHO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE DE TARSO E/OU MÉDIO PÉ - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE METATARSO - FALÂNGICA OU INTERFALÂNGICA - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA DE TORNOZELO (COM IMPLANTE) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA TOTAL DE JOELHO COM IMPLANTES - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRORRISE DO TORNOZELO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROTOMIA - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE FÊMUR;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE JOELHO;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE TÍBIA OU FÍBULA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DO TORNOZELO;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DOS OSSOS DO PÉ;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO DE DEFORMIDADE ÓSSEA CONGÊNITA OU ADQUIRIDA COM FIXADOR EXTERNO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO DE DEFORMIDADES DO PÉ COM FIXADOR EXTERNO DINÂMICO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESARTICULAÇÃO DE JOELHO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOLAMENTO EPIFISÁRIO (TRAUMÁTICO OU NÃO) - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOLAMENTO EPIFISÁRIO (TRAUMÁTICO OU NÃO) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENCURTAMENTO DE FÊMUR - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENCURTAMENTO DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIODESE - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIODESE DE TÍBIA / FÍBULA - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FASCIOTOMIA OU RESSECÇÃO DE FASCIA PLANTAR;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO DE PATELA - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO DE PATELA (INCLUSIVE OSTEOCONDRAL) - REDUÇÃO INCRUENTA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÕES DO PÉ (EXCETO ANTEPÉ) - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÕES DO PÉ (EXCETO ANTEPÉ) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE FÊMUR - REDUÇÃO INCRUENTA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE FÊMUR - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE FÍBULA - (INCLUI DESCOLAMENTO EPIFISÁRIO) - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE FÍBULA (INCLUI O DESCOLAMENTO EPIFISÁRIO) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE TÍBIA ASSOCIADA OU NÃO A FÍBULA (INCLUI DESCOLAMENTO EPIFISÁRIO) - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE TÍBIA E FÍBULA (INCLUI DESCOLAMENTO EPIFISÁRIO) - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES AO NÍVEL DO JOELHO - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES AO NÍVEL DO JOELHO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES AO NÍVEL DO TORNOZELO - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES DO ANTEPÉ - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES DO ANTEPÉ - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS, PSEUDARTROSES, CORREÇÃO DE DEFORMIDADES E ALONGAMENTOS COM FIXADOR EXTERNO DINÂMICO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES AGUDAS - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES AGUDAS - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES AGUDAS AO NÍVEL DO TORNOZELO - REDUÇÃO INCRUENTA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES AGUDAS AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES CRÔNICAS AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES PERIFÉRICAS CRÔNICAS - TRATAMENTO CIRÚRGICO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LIBERAÇÃO LATERAL E FACECTOMIAS EM JOELHO;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MEMBROS INFERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
